"U","V","Sex"
-0.426633955859962,0.143057138120921,"Male"
-0.775945844718133,-0.34194206726531,"Male"
0.92076375081536,0.0319767444003605,"Male"
-0.505069814329717,0.34693620169808,"Male"
-0.148200275659338,-0.258519952632499,"Female"
0.301038194790951,1.21244560874287,"Female"
-1.22846577735604,-0.0621749278707701,"Male"
-1.3168068271643,-1.72267594725235,"Male"
-0.99331441918431,-0.172797435260164,"Female"
0.727610371805322,0.830795666131343,"Female"
-0.774132266217411,-0.00606340802013074,"Female"
0.484494917790253,1.61483554532506,"Male"
-0.355382058044639,0.306820127058901,"Female"
0.535405082359375,0.796676311848776,"Female"
-0.390874212374025,0.570539161521447,"Female"
-0.430490012270051,-0.84880227120755,"Male"
-0.132441775141411,-0.397551923341109,"Female"
-0.429046148572362,0.204765153331849,"Male"
0.476819789917502,-0.0272079411362659,"Male"
0.281689720673503,-1.56311353803692,"Female"
-0.254988468268639,-1.0205069865808,"Female"
1.40650072712689,-0.649632913371212,"Female"
-0.736250885635641,0.186937308681306,"Female"
0.324934543661879,0.107567084321589,"Male"
0.58148902952336,1.30178772694614,"Female"
0.143630546455513,-0.236434179670987,"Male"
-0.465677197071401,-0.654128749689082,"Male"
1.25583653474473,2.04751494637656,"Male"
0.0156517350760868,-0.639635171576579,"Female"
1.11879233841875,-0.442090328240851,"Male"
0.598831262480521,1.01925218170168,"Female"
-1.02924196639897,-1.49819773500226,"Male"
0.264646792787093,2.63645808455385,"Female"
0.21035126138321,-0.309549968595811,"Female"
1.11030463137007,0.651294451981362,"Male"
-1.28264383826815,1.26536149131096,"Female"
1.6244922393006,-0.0315925914181231,"Male"
-0.170821285926111,1.13627281198103,"Male"
0.715969279446192,1.11380093030472,"Female"
0.25124464021721,0.435978499615154,"Female"
-0.205718220967188,0.463433395390873,"Male"
-0.296641802284939,-1.05557307645166,"Male"
0.347014940481834,0.953314051871203,"Male"
-0.386616311083302,0.698339354243767,"Male"
-0.420598077518535,0.674694365594882,"Female"
0.178623616915418,0.912092454276797,"Male"
0.544497681149461,0.945946456002688,"Male"
0.627980433922766,1.41161435209052,"Female"
-0.196432569509411,0.950796706301296,"Male"
1.19958983496915,0.847373436531208,"Female"
-0.0429643905827609,-1.69067273048315,"Female"
0.389563605011562,-1.4859512107332,"Female"
1.49007790121921,0.0698640184913767,"Male"
-1.00371680132429,-0.127679960813923,"Male"
-1.00680449068383,-0.266699411459617,"Male"
0.112928442093672,-0.365366037944451,"Male"
-0.407824085433658,-1.81946416899575,"Female"
0.449957367021171,0.413268885356952,"Male"
-1.22315535353512,0.929910063308366,"Male"
-1.4323547030171,-0.964908667697746,"Male"
-1.11967322069209,0.8630050399682,"Female"
0.884753182454221,1.38854916631656,"Male"
0.268664381911429,-0.251238132202219,"Female"
1.48661960402563,-1.29552297881309,"Female"
0.0980220182660985,-2.02128463774468,"Female"
-0.928592357655638,0.0960006990458538,"Male"
-0.0485756633765365,-0.0411264058118447,"Female"
1.37614360257964,-0.367302598529423,"Female"
0.63122403203704,0.87716531236503,"Female"
1.98967746083479,1.9067272933951,"Female"
0.560693192414291,-0.340286471189036,"Female"
1.74095051450219,1.22389192551569,"Female"
1.6716218426161,-0.175591056660928,"Female"
-0.168424735135427,0.0189401297943782,"Male"
3.04281561440952,1.66076309222453,"Female"
0.157023494165472,-0.498565571216256,"Male"
0.398049373719481,0.690610320454598,"Male"
0.588738918788335,0.771686834870781,"Male"
1.39515850166411,1.43507242230774,"Male"
0.956717081512759,0.523831270782384,"Female"
0.417259354837744,0.45356158774389,"Female"
2.94535453212589,1.52636639472449,"Male"
1.84668962440685,0.535472088590373,"Male"
1.10068978171698,-0.698152238372842,"Female"
0.80813154006644,0.647922625444612,"Male"
0.593557871819001,0.439709285721934,"Female"
0.290694163776317,0.934365759968619,"Female"
0.526265446522108,0.968498441569222,"Male"
0.430212556343358,-0.535195616080421,"Male"
1.80819127332933,-1.48847121102896,"Female"
0.917296067159643,-0.738434386437204,"Female"
2.32983752778904,1.78815621105553,"Male"
1.85341969347021,0.515600135104902,"Female"
0.813337635509924,-0.0364729408023071,"Male"
1.02463482345756,-1.3053746291088,"Male"
0.590228021653415,-0.361397519065737,"Male"
0.673320127656527,-0.457177900006625,"Female"
-1.1797925007376,-0.290168579805906,"Female"
1.03354023451116,-0.357332301094522,"Male"
-1.31637420714012,0.0758742421611629,"Female"
-0.261034625976755,-0.17812850299684,"Male"
-0.63771484430083,0.0670094676814887,"Female"
-0.605954514816013,-0.448056218273917,"Male"
-1.05150312590804,-1.87587435083741,"Female"
-1.08967871707416,-1.73838438707541,"Female"
-1.51238477194564,-0.87723608661731,"Male"
0.134143633779164,0.486324433858154,"Female"
-1.41355076268489,-0.941836421583641,"Male"
0.294186338642779,2.32531032317796,"Female"
-1.5305516111489,-0.413064192173746,"Male"
0.48475959084047,0.512986866056331,"Female"
-0.0194348912815502,-0.701464850938906,"Female"
-2.03124909598994,-1.18347433843076,"Male"
1.35185518303618,-1.49799490864345,"Male"
-1.81301987746826,-0.0164633409315148,"Male"
0.357641213223683,0.766229219638016,"Male"
0.113977720475833,-0.252485120495595,"Female"
-0.73887080076441,0.520763413407833,"Male"
-0.940938648500059,-0.78596597211532,"Female"
0.875577142266182,-0.513869221781986,"Male"
-0.111859795257645,0.637328192448268,"Male"
0.925695941221215,-0.225258393064285,"Male"
-0.309552707072302,-0.351516577699737,"Male"
-1.93085480251473,-0.675081993069021,"Male"
-0.70113674913731,0.464284665248784,"Male"
-1.30370708495068,0.732981161672597,"Male"
-1.58534935934693,-0.0315209341618341,"Male"
-1.22460839939918,0.082120408097508,"Male"
-1.79332842922529,-0.528593070422995,"Male"
-0.749196416347235,-0.0237016797032101,"Male"
-1.49345173847124,-0.58573241319245,"Male"
0.659297430860769,-0.582890382445479,"Male"
-2.24959314831691,-0.490065621571262,"Male"
-0.332233954369026,-0.390321898410894,"Female"
-0.356278755702389,0.0652039558389643,"Female"
-0.0860712185596567,-0.242539551697849,"Female"
-0.130545511731203,0.96913665001947,"Female"
-1.16567822743644,-0.352918533837092,"Male"
0.809023190565653,0.147510429787109,"Male"
-0.760608578695886,-0.145227278499114,"Male"
0.257816888839442,-1.21250793788155,"Male"
-1.10226629565668,-1.41198705678818,"Male"
0.277166411271407,1.4926015104378,"Female"
-0.659718649985535,-0.147728718042288,"Female"
-1.27049014693707,-1.06664482189247,"Male"
0.52263874228453,-0.641944019239659,"Female"
1.44856534266245,3.98720072375909,"Male"
-0.721401861517871,-0.325635383604694,"Male"
-0.236222253097073,-0.913372912820233,"Male"
-1.42682123459122,-0.960896917082268,"Male"
-0.594473317240399,-0.593516335130957,"Male"
