"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xloading_m1","xloading_m2","xloading_m3"
"IFG_L_6_6",-0.00953528961272393,-0.0434739581541987,0.0153577576104868,-0.477996133743323,-0.533543730302277,-0.0421619914731146
"IFG_R_6_6",-0.0189369319718014,-0.0406610190592216,0.0319732416120776,-0.512261046574439,-0.534479265053739,0.0176245954566828
"OrG_L_6_1",-0.0181125857197118,0.0203927731588095,-0.0157604951504617,-0.426621352206935,-0.303644541912098,-0.107366841574917
"OrG_R_6_1",-0.00637148631480567,0.0326917076940491,0.0910743470083124,-0.326176953822843,-0.260975314994093,0.0412883234094663
"OrG_L_6_2",-0.00272413110857672,-0.0555261484040013,0.0112983703418828,-0.490921401675858,-0.523977897169187,-0.0725813370163371
"OrG_R_6_2",-0.0170233458369662,-0.0481256289280252,0.0202788722812034,-0.513891036106164,-0.510888843734575,-0.0473773672102989
"OrG_L_6_3",0.101333813359184,-0.137623732262353,-0.0011927723764312,-0.350190761709697,-0.537796153931561,-0.077683617915735
"OrG_R_6_3",0.060798878825368,-0.124339803577591,0.0879550173578974,-0.395769381891104,-0.519440171407334,-0.00756191314617984
"OrG_L_6_4",-0.00955366553301821,0.00432899825387056,0.013459698770135,-0.363519058360881,-0.323839658330575,-0.0691387134695452
"OrG_R_6_4",-0.0388039146184813,0.010433989254591,0.0333726622045805,-0.40848070312687,-0.308002605702932,-0.0562678794580667
"OrG_L_6_5",-0.00152319108796455,-0.0488206134000541,0.152767443908734,-0.407457535282726,-0.450911199252209,0.065241842714505
"OrG_R_6_5",0.00908448091434324,-0.0212492922969971,0.144862560381381,-0.359031926344123,-0.412121870689909,0.113766706341517
"OrG_L_6_6",-0.0082525486401834,-0.0733541239744349,0.00588395988338956,-0.501641309995502,-0.544527209710058,-0.0812086209197508
"OrG_R_6_6",-0.0292346774111622,-0.053693414442643,0.0248253102813564,-0.545133989140143,-0.527632225833485,-0.0329739020351099
"PrG_L_6_1",-0.068482463483206,-0.103642594133762,0.0552967010580878,-0.575271085706026,-0.529137467801177,-0.0250648697870829
"PrG_R_6_1",-0.0503533325273815,-0.0637237805828959,0.0280742310842396,-0.599658725861885,-0.53694593170114,-0.0417820310026769
