xcoef_std_m1_age_gmv,xcoef_std_m2_math_gmv,xloading_m1_age_gmv,xloading_m2_math_gmv
-0.002023153,-0.056543804,-0.353869437,-0.650513669
-0.026114318,-0.037859102,-0.427342938,-0.493471211
-0.046435624,-0.066448069,-0.452390691,-0.531565269
-0.006508481,-0.026262678,-0.383165776,-0.537385477
0.006871258,-0.028607972,-0.341025266,-0.645820152
-0.034662806,0.003961521,-0.448674687,-0.528092966
-0.028505266,-0.021262934,-0.413220521,-0.595452711
-0.064621984,0.004934937,-0.49699298,-0.434967665
-0.103345095,-0.028224465,-0.516871136,-0.459500118
-0.061129867,0.02741843,-0.455997873,-0.455637465
-0.025233843,0.005503793,-0.394219464,-0.517272965
-0.026832421,0.000958222,-0.395289368,-0.52712659
-0.003734016,-0.082949784,-0.376916539,-0.618607956
-0.004037826,-0.014563233,-0.365664121,-0.583523126
-0.00790213,-0.011155315,-0.429020753,-0.52211563
-0.014372521,0.000582582,-0.391265233,-0.484754824
-0.004718671,0.006997962,-0.353608791,-0.446706845
-0.03693408,8.81E-05,-0.474556731,-0.410300841
-0.032963818,-0.018509181,-0.474230234,-0.43610776
-0.032338756,0.008048909,-0.467937486,-0.451097358
-0.044693627,-0.017722933,-0.489156576,-0.484154435
-0.033942036,0.011605156,-0.43616611,-0.477628514
-0.006839723,0.002211005,-0.379507034,-0.491449383
-0.023000742,0.001840037,-0.368764668,-0.513420439
-0.004799983,-0.008453577,-0.321096547,-0.542580979
-0.028307516,-0.005713169,-0.386489912,-0.533566186
0.005534151,-0.040439161,-0.287417728,-0.603076449
-0.010832843,-0.086002691,-0.406327348,-0.604061668
-0.026608618,-0.132155287,-0.411414149,-0.619040578
-0.047998922,-0.065264502,-0.415866824,-0.624324242
-0.036866288,-0.029197102,-0.380084709,-0.576944503
-0.013946312,-0.039649982,-0.339690967,-0.569504583
0.029304725,-0.034973019,-0.296629578,-0.576126971
0.0025155,-0.011357751,-0.350700309,-0.517040382
0.000812994,-0.015521219,-0.335765416,-0.543344253
-0.000906244,-0.019443755,-0.231254738,-0.629429284
0.004561125,-0.023285271,-0.18384066,-0.619304463
0.005692633,-0.023592329,-0.184372691,-0.686974999
0.008485893,-0.019420438,-0.12096396,-0.63893556
-0.00634251,-0.014891727,-0.351801222,-0.56905362
-0.004672999,-0.010153588,-0.335926882,-0.518675851
0.004215485,-0.004569593,-0.305689826,-0.461021287
-0.006375903,-0.013368629,-0.398444354,-0.483714422
-0.007716421,-0.013172777,-0.385356586,-0.631644672
-0.001514245,-0.022557932,-0.262222488,-0.65749221
-0.006039855,-0.009744023,-0.330814252,-0.523527121
0.020018555,-0.0214179,-0.260363229,-0.553359081
-0.013680786,0.001990582,-0.370408834,-0.477163558
0.006654813,-0.012782684,-0.308050219,-0.563402554
-0.072675217,-0.008685654,-0.531496276,-0.532520724
-0.105418963,-0.019013284,-0.534460214,-0.549129453
-0.056050498,-0.016920773,-0.466706151,-0.539912188
-0.082585066,-0.005942725,-0.511208566,-0.524399837
-0.04755201,-0.005589857,-0.428011226,-0.506508616
-0.038751899,-0.020586983,-0.432050287,-0.555122545
-0.090962818,-0.014719586,-0.545938903,-0.565668662
-0.079625779,-0.03149051,-0.522851878,-0.600271032
-0.034428916,-0.008799196,-0.431798451,-0.535451927
-0.038407787,-0.018797988,-0.421783574,-0.547101805
0.020114664,-0.013990082,-0.370326651,-0.485048775
0.028232427,0.001804143,-0.34201292,-0.488066062
-0.093442879,0.067914439,-0.467495298,-0.404863378
-0.130223382,0.056292701,-0.486464638,-0.449992331
-0.139508067,0.042943556,-0.470099546,-0.465002602
-0.108620337,0.000623936,-0.424805538,-0.499663696
-0.121723016,0.071863045,-0.442694752,-0.4395803
-0.13630368,0.036563843,-0.435346269,-0.486161382
-0.067343153,0.064081977,-0.415761307,-0.451145257
-0.048867559,0.03164524,-0.3908257,-0.490049644
0.129997555,-0.177137917,-0.213063093,-0.671644808
0.132994095,-0.195435296,-0.234943981,-0.667106095
-0.041577105,-0.058535704,-0.4196149,-0.638672345
-0.065623387,-0.046540895,-0.463745197,-0.6230859
-0.057614201,-0.079340003,-0.420594153,-0.691797946
-0.060827456,-0.10552931,-0.418562852,-0.726240066
0.046697475,-0.13682793,-0.299017374,-0.687809439
0.036253095,-0.17708424,-0.328646542,-0.707928782
0.007287819,-0.173400178,-0.26572748,-0.724151497
