xstdcoef_m1_age_gmv,xstdcoef_m2_math_gmv,xloading_m1_age_gmv,xloading_m2_math_gmv
-0.018623731,-0.021763876,-0.590434387,-0.483457915
-0.049423216,0.057089574,-0.589229753,-0.307061674
-0.061281857,-0.081484598,-0.588387143,-0.468057199
-0.050348178,-0.002623983,-0.622034131,-0.406588784
-0.113492901,0.003419451,-0.673521567,-0.40239403
-0.176161446,0.016349811,-0.748767575,-0.401767985
-0.1892909,-0.01474108,-0.756053771,-0.442954868
-0.129661643,-0.03793433,-0.686053533,-0.445390261
-0.194765075,-0.052400357,-0.716184651,-0.464218747
0.046982323,-0.157346153,-0.523846055,-0.530582547
-0.066374357,-0.179262897,-0.600908206,-0.586114461
-0.081174978,-0.112898785,-0.563047318,-0.510243808
-0.163917381,-0.151953973,-0.631409095,-0.537223431
0.031944193,-0.039651084,-0.442456336,-0.524431402
-0.002027792,-0.016596865,-0.529458963,-0.472342765
0.001831216,-0.024854265,-0.473551762,-0.4814238
-0.03177447,-0.00959249,-0.546644844,-0.437365446
0.076697106,-0.056311638,-0.382015473,-0.507098842
-0.003656392,-0.040990934,-0.516927816,-0.466267179
0.144536106,-0.126981904,-0.185940856,-0.620979985
0.13044615,-0.137434731,-0.264140663,-0.615069059
-0.119861026,-0.034812024,-0.695323215,-0.491170625
-0.168323348,-0.023608271,-0.74880714,-0.469843393
-0.052947824,-0.059902369,-0.567987414,-0.513349947
-0.051299594,-0.046594488,-0.583220919,-0.485328839
-0.086240214,-0.019467773,-0.654928291,-0.45819883
-0.130478082,-0.004603134,-0.74829992,-0.446829681
-0.091981001,0.061781428,-0.648428027,-0.264739476
-0.101296336,0.071721655,-0.685790447,-0.165915109
0.024584269,-0.068374248,-0.27868301,-0.655312725
0.020018307,-0.058027464,-0.25823249,-0.673176274
-0.018930999,-0.028550989,-0.6059538,-0.536227947
-0.021247455,-0.020599001,-0.634435307,-0.514737887
-0.00117851,-0.045083083,-0.482032834,-0.585873539
-0.012711128,-0.030283807,-0.563214783,-0.549079978
0.00190916,-0.030663298,-0.468413256,-0.568444194
0.003040302,-0.034029358,-0.426570122,-0.586612256
0.007832499,-0.057080996,-0.373997042,-0.628023153
0.008843316,-0.04673623,-0.346871175,-0.610979203
0.000974487,-0.064874835,-0.452803353,-0.603665
0.007418506,-0.041204665,-0.413609579,-0.566655618
0.081388425,-0.073218873,-0.167979621,-0.601427063
0.063672776,-0.062904353,-0.228850829,-0.59812576
0.004138799,-0.020896288,-0.384886562,-0.525420786
0.015058862,-0.063006473,-0.348886073,-0.630905207
-0.042494505,-0.058742424,-0.501984753,-0.490008454
-0.033114881,-0.028658562,-0.512135195,-0.457785105
0.003229318,-0.021790154,-0.476346787,-0.470946529
0.003192944,-0.015268333,-0.471844386,-0.465344179
