"receptor_set","brain_map","adj_r2","moran_p","regression_coef","fdrp"
"5HT2a","11-13.9y",0.0406453079999444,0.162567486502699,-0.212288241228759,0.664867026594681
"5HT4","Full",0.0196016388280635,0.380923815236953,-0.15530487315629,0.603129374125175
"5HT4","7-8.9y",0.0247666322843026,0.324535092981404,-0.171057871111411,0.600625329479559
"5HT4","9-10.9y",0.0106596338327221,0.498300339932014,-0.123364524994185,0.788975538225688
"5HT4","11-13.9y",0.0542361409403691,0.144371125774845,-0.242063007784914,0.664867026594681
"5HT6","Full",-0.00431568609317745,0.895620875824835,0.0176775787947557,0.95500899820036
"5HT6","7-8.9y",-0.00455743405299969,0.942411517696461,0.00847719753927431,0.942411517696461
"5HT6","9-10.9y",-0.00276026184033262,0.756448710257948,0.0431364485231334,0.898282843431314
"5HT6","11-13.9y",-0.00177577405372009,0.69246150769846,-0.0532982567043825,0.805016774422893
"5HTT","Full",0.0352544403475356,0.283943211357728,0.199249272068097,0.570231408263802
"5HTT","7-8.9y",0.00941879615732777,0.49370125974805,0.118252638438288,0.670023138229497
"5HTT","9-10.9y",0.0378250613949531,0.300139972005599,0.205570054451378,0.619656068786243
"5HTT","11-13.9y",0.0310730158902749,0.320335932813437,0.188515562221097,0.699693394654402
"A4B2","Full",0.0140210057385376,0.0703859228154369,0.136252294438453,0.562287542491502
"A4B2","7-8.9y",0.0302099874137134,0.0869826034793041,0.186223161321917,0.600625329479559
"A4B2","9-10.9y",0.00272095710838094,0.267346530693861,0.0855377873597798,0.619656068786243
"A4B2","11-13.9y",0.00359547045219599,0.357328534293141,0.0904831276803204,0.699693394654402
"M1","Full",0.00272830290299042,0.509698060387922,-0.0855805176978273,0.645617543158035
"M1","7-8.9y",0.0102521704774717,0.328134373125375,-0.121709573917196,0.600625329479559
"M1","9-10.9y",-0.00366563025987987,0.812237552489502,-0.0309767166810878,0.907794911605914
"M1","11-13.9y",0.0199503874352103,0.161767646470706,-0.156418493461608,0.664867026594681
"VAChT","Full",0.0808116432178198,0.14877024595081,0.29162910393666,0.570231408263802
"VAChT","7-8.9y",0.0354255705245772,0.293941211757648,0.199676272947943,0.600625329479559
"VAChT","9-10.9y",0.0921420135190303,0.122775444911018,0.310363804068848,0.619656068786243
"VAChT","11-13.9y",0.0641976132111994,0.177164567086583,0.261744277122805,0.664867026594681
"NET","Full",0.03239810421947,0.0887822435512897,0.191982028145608,0.562287542491502
"NET","7-8.9y",0.0254915114589509,0.175564887022595,0.173154075859593,0.600625329479559
"NET","9-10.9y",0.0497291216478898,0.0573885222955409,0.232611801333377,0.545190961807638
"NET","11-13.9y",0.0239857125861577,0.253949210157968,0.168770478103575,0.689290713285914
"CB1","Full",0.0238210574467378,0.330133973205359,-0.168284217677516,0.570231408263802
"CB1","7-8.9y",0.022117611896325,0.248550289942012,-0.163168570344951,0.600625329479559
"CB1","9-10.9y",0.0290924957708493,0.411517696460708,-0.183212237312189,0.710803293886677
"CB1","11-13.9y",0.0473301308032511,0.20995800839832,-0.227421007236069,0.664867026594681
"H3","Full",0.00422426727955194,0.491701659668066,0.0938780887158256,0.645617543158035
"H3","7-8.9y",-0.000549500333991482,0.639072185562887,0.0637285403605593,0.809491435046324
"H3","9-10.9y",0.00169318072133184,0.60627874425115,0.0793326728156362,0.886099703136296
"H3","11-13.9y",0.00359593313861162,0.57128574285143,0.090485672617457,0.775316365298369
"MOR","Full",-0.00173384836420531,0.820235952809438,-0.0536883288182633,0.95500899820036
"MOR","7-8.9y",-0.00438467670520115,0.922615476904619,-0.0156148682065761,0.942411517696461
"MOR","9-10.9y",0.00929396811177252,0.715856828634273,-0.117726096072667,0.898282843431314
"MOR","11-13.9y",0.00311301793854668,0.831433713257348,-0.0877893340026945,0.831433713257348
