"receptor_set","brain_map","adj_r2","moran_p","regression_coef","fdrp"
"5HT1a","11-13.9y",0.00870029818956009,0.406518696260748,0.115188973345506,0.569614648498872
"5HT1b","Full",-0.00357146896494487,0.813837232553489,-0.0324543425177245,0.859050412139794
"5HT1b","7-8.9y",-0.00247378112474217,0.809638072385523,0.0463240080212377,0.85461796529583
"5HT1b","9-10.9y",0.000658633699232691,0.845230953809238,-0.0725526943108962,0.845230953809238
"5HT1b","11-13.9y",0.00294191755771633,0.593481303739252,-0.0868139117009711,0.635317380968251
"5HT2a","Full",0.0183585219073771,0.383323335332933,-0.151268685969068,0.514923681930281
"5HT2a","7-8.9y",0.0123161183596555,0.450309938012398,-0.1298755442134,0.570392588149037
"5HT2a","9-10.9y",0.0284946443262124,0.369926014797041,-0.181580911805405,0.585716190095314
"5HT2a","11-13.9y",0.0166614147994838,0.347330533893221,-0.145577913905229,0.569614648498872
"5HT4","Full",0.00333103330491824,0.593481303739252,-0.089016727933014,0.663302633590929
"5HT4","7-8.9y",0.0179414733628981,0.379324135172965,-0.149890255497224,0.514797040591882
"5HT4","9-10.9y",0.00289496814281065,0.587082583483303,-0.0865443366527758,0.656151122716633
"5HT4","11-13.9y",0.00186816535734813,0.601879624075185,-0.0804229521422677,0.635317380968251
"5HT6","Full",0.016287498913043,0.405918816236753,0.144293923105726,0.514923681930281
"5HT6","7-8.9y",0.0186771632277447,0.370725854829034,0.152313454041314,0.514797040591882
"5HT6","9-10.9y",0.00984297906625631,0.49630073985203,0.120024641830733,0.656151122716633
"5HT6","11-13.9y",0.00839332924757175,0.531693661267746,0.113854930687355,0.635317380968251
"5HTT","Full",0.126696618719184,0.0227954409118176,0.361553672729592,0.0823168699593415
"5HTT","7-8.9y",0.0804467325129741,0.0975804839032194,0.291005678938067,0.264861313451595
"5HTT","9-10.9y",0.115491985936889,0.0277944411117776,0.345786147400982,0.0880157301872959
"5HTT","11-13.9y",0.119231791575667,0.0141971605678864,0.351127656623379,0.0674365126974605
"A4B2","Full",0.0629002839627539,0.0655868826234753,0.25926572437153,0.155768846230754
"A4B2","7-8.9y",0.116418370754645,0.0831833633273345,0.347116947868743,0.264861313451595
"A4B2","9-10.9y",0.0514981810156505,0.0443911217756449,0.236366573652032,0.12049018767675
"A4B2","11-13.9y",0.0175557018633781,0.270945810837832,0.14860381873407,0.514797040591882
"M1","Full",-0.00443719341796056,0.913417316536693,-0.0138401376022884,0.913417316536693
"M1","7-8.9y",-0.00324088862424166,0.771845630873825,-0.0371798504199877,0.85461796529583
"M1","9-10.9y",-0.00304913048382405,0.767246550689862,-0.0396637837277743,0.809871359061521
"M1","11-13.9y",-0.00449733589001578,0.922615476904619,-0.0114753688849001,0.922615476904619
"VAChT","Full",0.339482714551198,0.0001999600079984,0.58525769794979,0.0018996200759848
"VAChT","7-8.9y",0.267006781610541,0.0011997600479904,0.51998522146616,0.0113977204559088
"VAChT","9-10.9y",0.331190664507422,0.0023995200959808,0.578163242672771,0.0227954409118176
"VAChT","11-13.9y",0.291700563540561,0.0025994801039792,0.543106450194747,0.0246950609878024
"NET","Full",0.0829374670144732,0.0375924815036993,0.295234756823322,0.102036735510041
"NET","7-8.9y",0.103017124218124,0.0961807638472306,0.327338793694961,0.264861313451595
"NET","9-10.9y",0.0894552857745586,0.0147970405918816,0.306025071465492,0.0702859428114377
"NET","11-13.9y",0.0553859292832888,0.0459908018396321,0.244415608169786,0.124832176421858
"CB1","Full",0.00704169864108073,0.306538692261548,0.107784708320819,0.514923681930281
"CB1","7-8.9y",0.0115087466082187,0.335332933413317,0.126743859182364,0.514797040591882
"CB1","9-10.9y",-0.00138194860561547,0.533493301339732,0.0568569674887204,0.656151122716633
"CB1","11-13.9y",-0.00161001451269849,0.541491701659668,0.0548242632407825,0.635317380968251
"H3","Full",0.239767124123634,0.0001999600079984,0.493224595323287,0.0018996200759848
