receptor_set,brain_map,adj_r2,moran_p,regression_coef
NET,9-10.9y,0.08945528577455863,0.014797040591881624,0.30602507146549174
NET,11-13.9y,0.05538592928328878,0.04599080183963208,0.2444156081697865
CB1,Full,0.007041698641080729,0.3065386922615477,0.10778470832081857
CB1,7-8.9y,0.011508746608218656,0.3353329334133173,0.12674385918236447
CB1,9-10.9y,-0.0013819486056154684,0.533493301339732,0.05685696748872043
CB1,11-13.9y,-0.0016100145126984877,0.5414917016596681,0.05482426324078249
H3,Full,0.2397671241236341,0.0001999600079984003,0.4932245953232874
H3,7-8.9y,0.2867789128848096,0.0001999600079984003,0.5385774280501893
H3,9-10.9y,0.17213194115652708,0.0007998400319936012,0.4194603692073062
H3,11-13.9y,0.1949337426945511,0.0003999200159968006,0.44569465494563715
MOR,Full,0.03671821499962202,0.14177164567086584,0.20287262399457479
MOR,7-8.9y,0.05945473092565978,0.15496900619876025,0.2525649241707858
MOR,9-10.9y,0.015741086693442097,0.25414917016596683,0.14239677683957952
MOR,11-13.9y,0.017460802958781163,0.19996000799840033,0.14828564785539142
