analysis,network,n_ROI,t,df,r,CI_low,CI_high,p,fdrp,Full_report,Full_report_FDR
stanford_math,Sensorimotor,14,1.468619987,12,0.39032485,-0.176887834,0.762907464,0.167656297,0.311361694,"t(12) = 1.47, p = 0.168, r = 0.39, 95% CI [-0.18, 0.76]","t(12) = 1.47, p = 0.168, r = 0.39, 95% CI [-0.18, 0.76], FDR-corrected p = 0.311"
stanford_math,vDMN,19,1.642851615,17,0.37014908,-0.101049102,0.705710657,0.118780025,0.257356721,"t(17) = 1.64, p = 0.119, r = 0.37, 95% CI [-0.10, 0.71]","t(17) = 1.64, p = 0.119, r = 0.37, 95% CI [-0.10, 0.71], FDR-corrected p = 0.257"
stanford_math,pSalience,10,3.16006383,8,0.745123944,0.217570996,0.935745559,0.013393679,0.04016362,"t(8) = 3.16, p = 0.013, r = 0.75, 95% CI [0.22, 0.94]","t(8) = 3.16, p = 0.013, r = 0.75, 95% CI [0.22, 0.94], FDR-corrected p = 0.040"
stanford_math,high_Visual,14,3.877724859,12,0.745761137,0.35607562,0.9144901,0.002196915,0.009519963,"t(12) = 3.88, p = 0.002, r = 0.75, 95% CI [0.36, 0.91]","t(12) = 3.88, p = 0.002, r = 0.75, 95% CI [0.36, 0.91], FDR-corrected p = 0.010"
stanford_math,Precuneus,5,1.208423817,3,0.57218678,-0.626197318,0.966528927,0.313447899,0.452758077,"t(3) = 1.21, p = 0.313, r = 0.57, 95% CI [-0.63, 0.97]","t(3) = 1.21, p = 0.313, r = 0.57, 95% CI [-0.63, 0.97], FDR-corrected p = 0.453"
stanford_math,prim_Visual,6,0.79297357,4,0.368573555,-0.632045057,0.908410932,0.472174375,0.613826687,"t(4) = 0.79, p = 0.472, r = 0.37, 95% CI [-0.63, 0.91]","t(4) = 0.79, p = 0.472, r = 0.37, 95% CI [-0.63, 0.91], FDR-corrected p = 0.614"
stanford_reading,aSalience,24,0.990079233,22,0.206534454,-0.214754604,0.563022744,0.332900547,0.432770711,"t(22) = 0.99, p = 0.333, r = 0.21, 95% CI [-0.21, 0.56]","t(22) = 0.99, p = 0.333, r = 0.21, 95% CI [-0.21, 0.56], FDR-corrected p = 0.433"
stanford_reading,LECN,8,-1.408695479,6,-0.498534656,-0.890404894,0.317773246,0.208579749,0.345896884,"t(6) = -1.41, p = 0.209, r = -0.50, 95% CI [-0.89, 0.32]","t(6) = -1.41, p = 0.209, r = -0.50, 95% CI [-0.89, 0.32], FDR-corrected p = 0.346"
stanford_reading,RECN,13,0.899679796,11,0.261802395,-0.337928906,0.71032398,0.387562115,0.458027954,"t(11) = 0.90, p = 0.388, r = 0.26, 95% CI [-0.34, 0.71]","t(11) = 0.90, p = 0.388, r = 0.26, 95% CI [-0.34, 0.71], FDR-corrected p = 0.458"
stanford_reading,dDMN,23,1.284782905,21,0.269953679,-0.160059159,0.613849454,0.212859621,0.345896884,"t(21) = 1.28, p = 0.213, r = 0.27, 95% CI [-0.16, 0.61]","t(21) = 1.28, p = 0.213, r = 0.27, 95% CI [-0.16, 0.61], FDR-corrected p = 0.346"
stanford_reading,Visuospatial,24,1.28967186,22,0.265119697,-0.154836534,0.603927337,0.210558258,0.345896884,"t(22) = 1.29, p = 0.211, r = 0.27, 95% CI [-0.15, 0.60]","t(22) = 1.29, p = 0.211, r = 0.27, 95% CI [-0.15, 0.60], FDR-corrected p = 0.346"
stanford_reading,Language,19,-0.4623577,17,-0.111439727,-0.538396995,0.361044536,0.64968746,0.703828081,"t(17) = -0.46, p = 0.650, r = -0.11, 95% CI [-0.54, 0.36]","t(17) = -0.46, p = 0.650, r = -0.11, 95% CI [-0.54, 0.36], FDR-corrected p = 0.704"
stanford_reading,Auditory,39,2.650741986,37,0.39949441,0.096089134,0.634974625,0.011750096,0.150435599,"t(37) = 2.65, p = 0.012, r = 0.40, 95% CI [0.10, 0.63]","t(37) = 2.65, p = 0.012, r = 0.40, 95% CI [0.10, 0.63], FDR-corrected p = 0.150"
stanford_reading,Sensorimotor,14,1.759632446,12,0.452883618,-0.102270554,0.792929488,0.103914133,0.345896884,"t(12) = 1.76, p = 0.104, r = 0.45, 95% CI [-0.10, 0.79]","t(12) = 1.76, p = 0.104, r = 0.45, 95% CI [-0.10, 0.79], FDR-corrected p = 0.346"
stanford_reading,vDMN,19,1.510620423,17,0.344016763,-0.130599415,0.690354316,0.14924919,0.345896884,"t(17) = 1.51, p = 0.149, r = 0.34, 95% CI [-0.13, 0.69]","t(17) = 1.51, p = 0.149, r = 0.34, 95% CI [-0.13, 0.69], FDR-corrected p = 0.346"
stanford_reading,pSalience,10,1.580477573,8,0.487794533,-0.204701334,0.85486701,0.15265278,0.345896884,"t(8) = 1.58, p = 0.153, r = 0.49, 95% CI [-0.20, 0.85]","t(8) = 1.58, p = 0.153, r = 0.49, 95% CI [-0.20, 0.85], FDR-corrected p = 0.346"
stanford_reading,high_Visual,14,2.601917909,12,0.600567356,0.102719194,0.857807567,0.023143938,0.150435599,"t(12) = 2.60, p = 0.023, r = 0.60, 95% CI [0.10, 0.86]","t(12) = 2.60, p = 0.023, r = 0.60, 95% CI [0.10, 0.86], FDR-corrected p = 0.150"
stanford_reading,Precuneus,5,1.193145745,3,0.567290787,-0.630583898,0.966048419,0.318570962,0.432770711,"t(3) = 1.19, p = 0.319, r = 0.57, 95% CI [-0.63, 0.97]","t(3) = 1.19, p = 0.319, r = 0.57, 95% CI [-0.63, 0.97], FDR-corrected p = 0.433"
stanford_reading,prim_Visual,6,0.360369823,4,0.177329265,-0.740850442,0.864480127,0.736794221,0.736794221,"t(4) = 0.36, p = 0.737, r = 0.18, 95% CI [-0.74, 0.86]","t(4) = 0.36, p = 0.737, r = 0.18, 95% CI [-0.74, 0.86], FDR-corrected p = 0.737"
