"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xcoef_std_m4","xcoef_std_m5","xloading_m1","xloading_m2","xloading_m3","xloading_m4","xloading_m5"
"IFG_L_6_1",-0.00488086222794751,-0.0295837312263117,0.0186149138464406,-0.0167421334806991,0.0718498879589917,-0.417183751002023,-0.591693005274488,-0.0410132005383703,0.196149277109296,0.235970891003745
"IFG_R_6_1",-0.0233768833897324,-0.0294728246023015,0.0152358511636995,-0.0123705190988846,0.0772514093012792,-0.461768509087421,-0.593359282539283,-0.0541073640782205,0.206672685296057,0.236572611443461
"IFG_L_6_2",0.000159082075325424,-0.0160491775055343,-0.00442060991173735,0.067331403040657,0.0474207363770517,-0.39917793011432,-0.544244636024726,-0.107937094064984,0.376560457366216,0.192209779224072
"IFG_R_6_2",-0.0186389750345007,-0.0147174108627337,-0.00185610097354615,0.0632509131416533,0.0376289516913605,-0.436544573935655,-0.555174709721866,-0.0987189226384981,0.376524378991208,0.183293988797791
"IFG_L_6_3",0.0219158195464728,-0.036185553818338,0.0262543036468753,0.0415817355066547,0.064280522099518,-0.303490386193147,-0.588560072881558,-0.0175271325575784,0.28644713815137,0.218186725897995
"IFG_R_6_3",-0.0054353822479797,-0.0478819370661059,0.0325955975204563,0.0342287181768034,0.0715101218361324,-0.365080665814088,-0.627931157281026,-0.0132845638096524,0.244623830913446,0.20614571083028
"IFG_L_6_4",0.0124005724651607,-0.0111707555505293,-0.0125374976466933,0.106331816098941,0.0534349453947701,-0.324385532900308,-0.51970787196583,-0.11407701720003,0.4195651720531,0.192126571653007
"IFG_R_6_4",-0.0191299476129391,-0.0240317184257727,-0.0120689995061449,0.105364258812196,0.0717969025355511,-0.378316011936168,-0.562461939887528,-0.105129456519428,0.377808759314032,0.213605700850647
"IFG_L_6_5",0.00830780895610695,-0.04677785784012,0.0299866858506748,0.0695407520443355,0.0591657434555881,-0.363668307550578,-0.640402135080579,-0.0399967558652907,0.320639731204708,0.158763182571909
"IFG_R_6_5",-0.0187535597796513,-0.0659546855178588,0.0462476716255412,0.0874874593016646,0.0710549159643108,-0.403607138003955,-0.664832245185628,-0.0226598715200339,0.305114971467618,0.150311418839127
"IFG_L_6_6",0.0282536527678354,-0.0466090269976601,0.0305134918751416,0.024414259558995,0.0577357649205543,-0.273285373255713,-0.651463750245067,-0.00294441671710218,0.22287944451754,0.185279260354185
"IFG_R_6_6",0.0231408984813533,-0.044728883696006,0.0187409128199697,0.0147758782272528,0.0621631364037849,-0.294501648423232,-0.662970692324254,-0.0336378881974727,0.20864945513124,0.20157933183917
"OrG_L_6_1",0.0559819248640671,-0.0947188785081144,-0.0242685198726883,-0.00888800446716484,0.00137420883612463,-0.145798926936214,-0.672547529093533,-0.0816488128846096,0.15632200894915,0.0335345705457853
"OrG_R_6_1",0.0415753461294277,-0.139934026478371,0.0330570226906753,-0.0271941725188254,0.0170633743742795,-0.195457840437854,-0.719436611021009,-0.0154490826942549,0.141916494635426,0.0536066607379048
"OrG_L_6_2",0.00291717767136208,-0.0298570348075815,0.00193442065459932,0.10736153209159,0.0634051874274774,-0.343678774778485,-0.5756666415271,-0.0790246848363762,0.364066718815499,0.159980561141058
"OrG_R_6_2",-0.0296709972034168,-0.0287314542194857,-0.0260343437741339,0.113154924276539,0.0601266367512207,-0.388721063183898,-0.575245838191862,-0.120952576680312,0.379466462521038,0.167058254893858
"OrG_L_6_3",0.0034413421004809,-0.0545769750488649,0.0659670569395499,0.13863762194893,0.0721561607217859,-0.311034509446377,-0.605706907050345,-0.0276555347607768,0.314608221928717,0.113903659415018
"OrG_R_6_3",-0.0506607931298036,-0.112687647566447,0.0631268434220451,0.165265961559338,0.0494736304615136,-0.33083533449036,-0.660614849656366,-0.0270214139142484,0.298029307798149,0.0857810337849998
"OrG_L_6_4",0.0824841302073304,-0.115957786433512,-0.0170591173889227,-0.0700327753131124,0.00452041574487931,-0.065935942190935,-0.612993887253167,-0.0574476360540314,0.0326813789394539,0.0171361863193227
"OrG_R_6_4",0.109276862467141,-0.142254943459152,-0.111866444863659,-0.0805128466717186,0.0498321205884772,-0.0807468281853377,-0.628238746620281,-0.15230174537078,0.0693079434279384,0.0768201102718087
"OrG_L_6_5",0.0497140996859285,-0.154521604340986,0.262020957511289,0.0676071973872869,-0.0174232413475569,-0.198927429125998,-0.686300426077431,0.135424201116913,0.200583257909458,0.0100282942397051
"OrG_R_6_5",0.0461049507277549,-0.130005587017281,0.199025118730726,0.0443856594786527,-0.0417697566481868,-0.144263820342793,-0.670482109414236,0.128996300428102,0.158804979930357,-0.0213360278664055
"OrG_L_6_6",0.000131734744729305,-0.0320363915528909,0.0036715387203794,0.108565663110597,0.0726595785653204,-0.361448934148636,-0.598536556508013,-0.0763476316772983,0.369083901445289,0.173813843733851
"OrG_R_6_6",-0.0343708309564174,-0.0369376547983971,-0.000253937745833292,0.102107654110658,0.0712489664599077,-0.41815687572232,-0.618021221772024,-0.0781899514505866,0.357241918691009,0.182926954999603
"PrG_L_6_1",-0.049176262937285,-0.0725848620700659,-0.00972106481568751,-0.0684111143865781,0.163273180200286,-0.463626864963401,-0.663038211355554,-0.120846076834699,0.142450893882818,0.224616657815501
"PrG_R_6_1",0.00886213277048197,-0.0649101220351988,0.0179565088657789,-0.0289925628595138,0.0918704633043823,-0.379221529006954,-0.69460645444599,-0.0752910801665504,0.151228991343826,0.208596071906768
"PrG_L_6_2",-0.127956086311681,-0.0317236788808308,-0.000115089025697198,-0.0703923514338576,0.114339339753824,-0.589501576782939,-0.574766454603828,-0.100283941238531,0.129937248184763,0.194094041443375
"PrG_R_6_2",-0.13683486048949,-0.0701528675770029,0.0100839392020399,-0.100393179335121,0.138244581853026,-0.55792509251819,-0.616560192891229,-0.091708132604424,0.120789438159876,0.172704946581876
"PrG_L_6_3",-0.0906274532607779,-0.0549779475240872,0.00376043966811333,-0.040103443419534,0.0569837545995275,-0.511456345818523,-0.637637889344237,-0.082467969516533,0.127319799901377,0.114792019941268
"PrG_R_6_3",-0.083988704418019,-0.0490462790306937,0.0136056373485446,-0.0446969864234774,0.0596573086451472,-0.528559197649793,-0.63566867984749,-0.0777768337813923,0.130122716452629,0.131012359871676
"PrG_L_6_4",-0.0585784982614022,-0.0140756045903919,0.00709663589330038,-0.0317835041280896,0.0152959341695621,-0.53795751260895,-0.514438593522573,-0.040628630516762,0.0420671635964343,0.0500412715111507
"PrG_R_6_4",-0.0755053935743777,-0.0411356827340597,0.0358310621246618,-0.0366518142300598,0.0340941418761646,-0.518196956753535,-0.613989134150728,0.00305401424521374,0.0677978020588814,0.0929726132204031
"PrG_L_6_5",0.0542281982994107,-0.0716668451069628,0.0306357480465511,0.0274800446699776,0.0423411775928218,-0.215970815839519,-0.714106854494313,-0.0280220579446979,0.200843985451316,0.0924254444882363
"PrG_R_6_5",0.0458219909289477,-0.0668901542716386,0.0225405654855609,0.0149658899294048,0.0444016880630343,-0.242050386991163,-0.712757915254482,-0.0419977621749764,0.178395016240226,0.110914794650513
"PrG_L_6_6",-0.00246275173985548,-0.085381881228411,0.00548154247149971,-0.0567210036095593,0.189117320044188,-0.418955993002373,-0.646378720431108,-0.0954456083574914,0.166949546443276,0.247176672338748
"PrG_R_6_6",0.0215168611129445,-0.0807342779502395,-0.00172277703937248,-0.0325558494927752,0.165541327566125,-0.390321981962523,-0.652216614025763,-0.113140874309752,0.180535249966107,0.241162021689142
