"","xcoef_std_m1","xcoef_std_m2","xcoef_std_m3","xcoef_std_m4","xcoef_std_m5","xloading_m1","xloading_m2","xloading_m3","xloading_m4","xloading_m5"
"OrG_R_6_1",-0.00779481968261677,-0.0161598930387502,0.130717105570849,0.121485789075519,0.0508705961621981,-0.378517910848124,-0.38341382808302,0.0918642581095269,0.108162369885837,-0.0307829395565706
"OrG_L_6_2",-0.0121358528174568,-0.0727185976986247,-0.00543008937807003,0.00638160419815235,0.0130792394135568,-0.566623348060484,-0.595900019326502,-0.0660500197377381,-0.104744492746259,0.00725043561961805
"OrG_R_6_2",-0.0253655470125025,-0.0538981656783143,-0.0257076580235448,0.00946775615971826,0.012815989423997,-0.589607600017131,-0.56854335361997,-0.105724358730086,-0.0827785525316139,-0.00199096536934624
"OrG_L_6_3",0.0715621786462735,-0.250798616971546,0.0616906127136502,0.0414240125180459,-0.0139492289956816,-0.433973613899845,-0.682049582550768,0.00454163624456108,-0.0732400761080087,-0.00460039870163772
"OrG_R_6_3",0.0291256305096276,-0.236689838405093,0.0854405589325371,0.141249873280781,0.0160427508848305,-0.481095087741999,-0.66179085165292,0.00903609295943682,0.00635977025715763,0.00671246953389435
"OrG_L_6_4",-0.00995572498580264,-0.0336717505619036,0.120735992815142,0.0456036016709956,0.0216465532088831,-0.416079502807435,-0.42672135459212,0.0962755847225398,0.008252103726522,-0.0681904763097564
"OrG_R_6_4",-0.0365648269617346,-0.032488315582418,0.202654009543919,0.0843268117223337,0.0485166055499484,-0.456532014972702,-0.408807182197891,0.164281900519543,0.0313125174294314,-0.0434307683519073
"OrG_L_6_5",-0.0413589892167361,-0.167837763490488,-0.0423017742391896,0.27915305850693,-0.14363462698901,-0.50269738527315,-0.611371455770404,-0.111453734793561,0.15305128856446,-0.143488860948645
"OrG_R_6_5",-0.0201928920107573,-0.11022635616693,-0.0365606436589857,0.234748263406307,-0.0947326909362677,-0.452330802634312,-0.575863521873685,-0.121361876624796,0.200030720050271,-0.132323723516099
"OrG_L_6_6",-0.0194424030810818,-0.0806402671317066,-0.0414900153596576,-0.0127509067687751,0.0131367006853501,-0.579483272744494,-0.598031137117508,-0.126113017948716,-0.128148088882866,-0.00350327828998818
"OrG_R_6_6",-0.039224618870254,-0.0548178004921727,-0.0447211197625643,0.0174930977287866,0.00114992325662551,-0.624708326838405,-0.57567927116859,-0.143477548322747,-0.067149323153708,-0.0156705330297599
"PrG_L_6_1",-0.0763542827274071,-0.0678108706815598,-0.00580235685365524,0.0202819090111216,0.0886028370527185,-0.643722682562239,-0.540247858469518,-0.0660397573983455,-0.0890670501703178,0.0776522873825521
"PrG_R_6_1",-0.0570332542643073,-0.0463017761950655,-0.0128118004605659,0.0190760649883196,0.0294444037811297,-0.670885360788926,-0.54852516524776,-0.0843845867818322,-0.0868388835483343,0.0369239791447096
"PrG_L_6_2",-0.0658348479597515,-0.0382523582116112,0.0352269459707843,0.0128233997935893,0.104802266230507,-0.640246529739162,-0.494932499242195,-0.0103346246753601,-0.106326133411674,0.104884733804567
"PrG_R_6_2",-0.145772949799166,-0.0610329021562188,0.0806371933382317,0.0505327302653371,0.00457640989588399,-0.715759741593886,-0.501056863050311,0.0326081776277765,-0.092355375752945,-0.0102741275996051
"PrG_L_6_3",-0.0422149326179621,-0.0147829170162619,0.0396893049747796,0.0436216982980555,0.116621252532057,-0.589126912001202,-0.444872477231368,-0.00203168383660289,-0.0247713974370604,0.162696589087276
"PrG_R_6_3",-0.0971332385288246,-0.0044439993018563,0.0388762404764751,0.0547543746596858,0.0331901307839748,-0.73222008990894,-0.437729684011404,0.0202839037465325,-0.0369627595524533,0.0265780876756239
"PrG_L_6_4",-0.021611330524929,0.011779565425694,0.0309539258091149,0.016802908829942,0.0225470749877453,-0.546901941249785,-0.284355041884313,0.0538459727385473,-0.0325764348035941,0.0186116732532093
"PrG_R_6_4",-0.0600623890303355,0.0271904959457689,0.0337273206961088,0.0674511767443459,0.0071048819032812,-0.626003282446072,-0.257775016145821,0.0151844164106597,0.0691761038191252,-0.0595814390248836
"PrG_L_6_5",-0.0305696433747011,-0.0435637632282317,-0.0160577910716202,0.056372134096942,-0.0147088973862388,-0.590358897618136,-0.543041126868163,-0.119762075879176,0.0203179450800733,-0.0590983437932921
"PrG_R_6_5",-0.0234884755006112,-0.0363316836614101,-0.027831250180182,0.0378759258797386,-0.00320258786872333,-0.570136003997304,-0.536454166449321,-0.156623940480815,0.00227779088226632,-0.0514434424904819
"PrG_L_6_6",-0.060611053090121,-0.101434434998126,-0.0196385667238464,-0.0195996885879597,0.0673509611499876,-0.609459086311147,-0.566677752342117,-0.0730296301042677,-0.127526320478608,0.0598889209483769
"PrG_R_6_6",-0.0866084306909498,-0.111263900587374,-0.00247718275561789,0.0260970358197745,0.0739066074582678,-0.640149778151039,-0.572983363255784,-0.0580135393706528,-0.101024103244931,0.0680404940835787
"PCL_L_2_1",-0.00663859693873055,0.00521784898468301,-0.0120197158293241,0.0297923745190162,0.0302372027906053,-0.437930910445241,-0.348934074560268,-0.140795720827156,0.0773540049426541,0.0147870656181929
